"EID","Last Name","First Name","Email","Password","User Type","Internal Id","eppn","testval"
admin,Administrator,Alexa,noone@dovevalleyapps.com,password,maintain,admin,val1,val2
aphillips,Phillips,Anna,noone@dovevalleyapps.com,password,maintain,aphillips,val1,val2
bkoppelman,Koppelman,Brian,noone@dovevalleyapps.com,password,maintain,bkoppelman,val1,val2
cbuckley,Buckley,Carlos,noone@dovevalleyapps.com,password,maintain,cbuckley,val1,val2
coliveira,Oliveira,Christian,noone@dovevalleyapps.com,password,maintain,coliveira,val1,val2

dlarue,Larue,Devin,noone@dovevalleyapps.com,password,maintain,dlarue,val1,val2
gjohnson,Andrews-Johnson,Gavin,noone@dovevalleyapps.com,password,maintain,gjohnson,val1,val2
klabelle,LaBelle,Katherine,noone@dovevalleyapps.com,password,maintain,klabelle,val1,val2
mbrissette,Brissette,Madison,noone@dovevalleyapps.com,password,maintain,mbrissette,val1,val2
mpaquette,Paquette,Mia,noone@dovevalleyapps.com,password,maintain,mpaquette,val1,val2
nwilson,Wilson,Nathaniel,noone@dovevalleyapps.com,password,maintain,nwilson,val1,val2
aallen,Allen,Aaliyah,noone@dovevalleyapps.com,password,registered,aallen,val1,val2
aaustin,Austin,Alma,noone@dovevalleyapps.com,password,registered,aaustin,val1,val2
abass,Bass,Aaron,noone@dovevalleyapps.com,password,registered,abass,val1,val2
abelanger,Belanger,Abigail,noone@dovevalleyapps.com,password,registered,abelanger,val1,val2
abishop,Bishop,Agnes,noone@dovevalleyapps.com,password,registered,abishop,val1,val2
aboyer,Boyer,Adam,noone@dovevalleyapps.com,password,registered,aboyer,val1,val2
abradley,Bradley,Ana,noone@dovevalleyapps.com,password,registered,abradley,val1,val2
abrouillette,Brouillette,Addison,noone@dovevalleyapps.com,password,registered,abrouillette,val1,val2
aburns,Burns,April,noone@dovevalleyapps.com,password,registered,aburns,val1,val2
acaldwell,Caldwell,Adrian,noone@dovevalleyapps.com,password,registered,acaldwell,val1,val2
acard,Card,Aidan,noone@dovevalleyapps.com,password,registered,acard,val1,val2
acarter,Carter,Amanda,noone@dovevalleyapps.com,password,registered,acarter,val1,val2
aceroni,Ceroni,Aiden,noone@dovevalleyapps.com,password,registered,aceroni,val1,val2
achampagne,Champagne,Alejandro,noone@dovevalleyapps.com,password,registered,achampagne,val1,val2
adias,Dias,Alex,noone@dovevalleyapps.com,password,registered,adias,val1,val2
adixon,Dixon,Amber,noone@dovevalleyapps.com,password,registered,adixon,val1,val2
